RUN	simulations.dunelm.DunelmLogin		dunelmlogin	1522331576359	 	2.0
USER	DunelmLogin	1	START	1522331577680	1522331577680
REQUEST	DunelmLogin	1		Login	1522331577745	1522331579139	OK	 
REQUEST	DunelmLogin	1		Logout	1522331587788	1522331588617	OK	 
REQUEST	DunelmLogin	1		Login	1522331588619	1522331589318	OK	 
REQUEST	DunelmLogin	1		Logout	1522331596955	1522331597543	OK	 
REQUEST	DunelmLogin	1		Login	1522331597544	1522331597904	OK	 
REQUEST	DunelmLogin	1		Logout	1522331603715	1522331604234	OK	 
REQUEST	DunelmLogin	1		Login	1522331604235	1522331604479	OK	 
REQUEST	DunelmLogin	1		Logout	1522331611855	1522331612301	OK	 
REQUEST	DunelmLogin	1		Login	1522331612302	1522331612673	OK	 
REQUEST	DunelmLogin	1		Logout	1522331619355	1522331619756	OK	 
REQUEST	DunelmLogin	1		Login	1522331619757	1522331620029	OK	 
REQUEST	DunelmLogin	1		Logout	1522331628966	1522331629461	OK	 
REQUEST	DunelmLogin	1		Login	1522331629462	1522331629805	OK	 
USER	DunelmLogin	1	END	1522331577680	1522331639315
